file_name,avg_pitch,pitch_std,tempo,energy,silence_frames,emotion,sentiment
03-01-01-01-01-01-01.wav,1779.4193,1133.3344,187.5,0.0021197072,295,neutral,neutral
03-01-01-01-01-02-01.wav,1818.3252,1130.4468,106.13207547,0.0022580326,298,neutral,neutral
03-01-01-01-02-01-01.wav,1828.8231,1147.5758,82.72058824,0.0027071815,283,neutral,neutral
03-01-01-01-02-02-01.wav,1784.729,1138.831,66.17647059,0.0025207684,283,neutral,neutral
03-01-02-01-01-01-01.wav,1804.7471,1146.8021,112.5,0.0015786955,325,calm,neutral
03-01-02-01-01-02-01.wav,1835.4337,1138.1537,106.13207547,0.0016762057,330,calm,neutral
03-01-02-01-02-01-01.wav,1804.145,1149.474,175.78125,0.0025555012,315,calm,neutral
03-01-02-01-02-02-01.wav,1734.4857,1132.1903,49.77876106,0.0026076469,305,calm,neutral
03-01-02-02-01-01-01.wav,1799.3057,1132.4264,117.1875,0.0014528487,348,calm,neutral
03-01-02-02-01-02-01.wav,1851.595,1124.9044,73.05194805,0.0015512242,371,calm,neutral
03-01-02-02-02-01-01.wav,1798.5125,1129.3123,140.625,0.002051211,395,calm,neutral
03-01-02-02-02-02-01.wav,1844.4323,1130.719,181.4516129,0.0020813276,368,calm,neutral
03-01-03-01-01-01-01.wav,1784.4196,1122.0437,152.02702703,0.004056211,257,happy,positive
03-01-03-01-01-02-01.wav,1853.5822,1135.2561,140.625,0.004627866,258,happy,positive
03-01-03-01-02-01-01.wav,1861.1382,1142.0446,52.57009346,0.0036503486,273,happy,positive
03-01-03-01-02-02-01.wav,1771.354,1157.6051,175.78125,0.0036507975,295,happy,positive
03-01-03-02-01-01-01.wav,1875.7634,1120.7456,122.2826087,0.006117453,254,happy,positive
03-01-03-02-01-02-01.wav,1764.4058,1084.9822,114.79591837,0.0077350195,242,happy,positive
03-01-03-02-02-01-01.wav,1793.4174,1145.5222,175.78125,0.010461957,231,happy,positive
03-01-03-02-02-02-01.wav,1834.8594,1141.6735,96.98275862,0.009871895,237,happy,positive
03-01-04-01-01-01-01.wav,1872.8103,1132.615,108.17307692,0.0020295018,351,sad,negative
03-01-04-01-01-02-01.wav,1822.2036,1127.5604,122.2826087,0.0019012076,323,sad,negative
03-01-04-01-02-01-01.wav,1866.2015,1140.069,73.05194805,0.0016949223,325,sad,negative
03-01-04-01-02-02-01.wav,1873.7726,1159.5225,73.05194805,0.002220619,304,sad,negative
03-01-04-02-01-01-01.wav,1857.3677,1145.601,108.17307692,0.0027989103,342,sad,negative
03-01-04-02-01-02-01.wav,1923.718,1142.2661,90.72580645,0.004511432,279,sad,negative
03-01-04-02-02-01-01.wav,1881.2855,1144.3004,106.13207547,0.0048372704,270,sad,negative
03-01-04-02-02-02-01.wav,1900.7799,1153.5846,193.96551724,0.0058990936,253,sad,negative
03-01-05-01-01-01-01.wav,1912.4438,1134.7529,114.79591837,0.008106401,263,angry,negative
03-01-05-01-01-02-01.wav,1889.0201,1129.2745,81.52173913,0.009117907,241,angry,negative
03-01-05-01-02-01-01.wav,1870.8351,1148.1495,193.96551724,0.0066069933,235,angry,negative
03-01-05-01-02-02-01.wav,1887.0612,1147.5901,102.27272727,0.010389194,225,angry,negative
03-01-05-02-01-01-01.wav,1886.9716,1115.9572,92.21311475,0.051100224,198,angry,negative
03-01-05-02-01-02-01.wav,1957.3533,1127.0168,165.44117647,0.031457525,214,angry,negative
03-01-05-02-02-01-01.wav,1951.6937,1134.453,193.96551724,0.03165411,218,angry,negative
03-01-05-02-02-02-01.wav,1905.1594,1107.3677,152.02702703,0.08850297,200,angry,negative
03-01-06-01-01-01-01.wav,1668.9574,1117.3807,112.5,0.0056743654,258,fearful,negative
03-01-06-01-01-02-01.wav,1804.1803,1101.7555,110.29411765,0.005428494,255,fearful,negative
03-01-06-01-02-01-01.wav,1682.8954,1137.7373,54.08653846,0.0047868155,255,fearful,negative
